2026-05-13 07:06:41.826 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — No active profile set, falling back to 1 default profile: "default"
2026-05-13 07:06:41.857 [restartedMain] INFO  [traceId=, spanId=] o.s.c.c.c.ConfigServerConfigDataLoader — Fetching config from server at : http://localhost:8888
2026-05-13 07:06:41.857 [restartedMain] INFO  [traceId=, spanId=] o.s.c.c.c.ConfigServerConfigDataLoader — Located environment: name=tavia-discovery-service, profiles=[default], label=null, version=null, state=null
2026-05-13 07:06:41.860 [restartedMain] INFO  [traceId=, spanId=] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor — Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-13 07:06:41.860 [restartedMain] INFO  [traceId=, spanId=] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor — For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-13 07:06:42.517 [restartedMain] INFO  [traceId=, spanId=] o.s.cloud.context.scope.GenericScope — BeanFactory id=c5577a8b-fec0-3fae-9748-8fc15580100b
2026-05-13 07:06:42.852 [restartedMain] INFO  [traceId=, spanId=] o.s.boot.tomcat.TomcatWebServer — Tomcat initialized with port 8761 (http)
2026-05-13 07:06:42.862 [restartedMain] INFO  [traceId=, spanId=] o.a.coyote.http11.Http11NioProtocol — Initializing ProtocolHandler ["http-nio-8761"]
2026-05-13 07:06:42.863 [restartedMain] INFO  [traceId=, spanId=] o.a.catalina.core.StandardService — Starting service [Tomcat]
2026-05-13 07:06:42.864 [restartedMain] INFO  [traceId=, spanId=] o.a.catalina.core.StandardEngine — Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-13 07:06:42.893 [restartedMain] INFO  [traceId=, spanId=] o.s.b.w.c.s.WebApplicationContextInitializer — Root WebApplicationContext: initialization completed in 1033 ms
2026-05-13 07:06:43.486 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using JSON encoding codec LegacyJacksonJson
2026-05-13 07:06:43.486 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using JSON decoding codec LegacyJacksonJson
2026-05-13 07:06:43.617 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using XML encoding codec XStreamXml
2026-05-13 07:06:43.617 [restartedMain] INFO  [traceId=, spanId=] c.n.d.p.DiscoveryJerseyProvider — Using XML decoding codec XStreamXml
2026-05-13 07:06:43.873 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.eureka.InstanceInfoFactory — Setting initial instance status as: STARTING
2026-05-13 07:06:43.886 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Initializing Eureka in region us-east-1
2026-05-13 07:06:43.886 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Client configured to neither register nor query for data.
2026-05-13 07:06:43.887 [restartedMain] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Discovery Client initialized at timestamp 1778645203887 with initial instances count: 0
2026-05-13 07:06:43.913 [restartedMain] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Initializing ...
2026-05-13 07:06:43.915 [restartedMain] WARN  [traceId=, spanId=] c.n.eureka.cluster.PeerEurekaNodes — The replica size seems to be empty. Check the route 53 DNS Registry
2026-05-13 07:06:43.920 [restartedMain] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Finished initializing remote region registries. All known remote regions: []
2026-05-13 07:06:43.920 [restartedMain] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Initialized
2026-05-13 07:06:43.930 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServiceRegistry — Registering application TAVIA-DISCOVERY-SERVICE with eureka with status UP
2026-05-13 07:06:43.932 [restartedMain] INFO  [traceId=, spanId=] o.a.coyote.http11.Http11NioProtocol — Starting ProtocolHandler ["http-nio-8761"]
2026-05-13 07:06:43.937 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — isAws returned false
2026-05-13 07:06:43.938 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — Initialized server context
2026-05-13 07:06:43.938 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Got 1 instances from neighboring DS node
2026-05-13 07:06:43.938 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Renew threshold is: 1
2026-05-13 07:06:43.938 [Thread-13] INFO  [traceId=, spanId=] c.n.e.r.PeerAwareInstanceRegistryImpl — Changing status to UP
2026-05-13 07:06:43.940 [Thread-13] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerInitializerConfiguration — Started Eureka Server
2026-05-13 07:06:43.941 [restartedMain] INFO  [traceId=, spanId=] o.s.boot.tomcat.TomcatWebServer — Tomcat started on port 8761 (http) with context path '/'
2026-05-13 07:06:43.943 [restartedMain] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaAutoServiceRegistration — Updating port to 8761
2026-05-13 07:06:44.105 [restartedMain] INFO  [traceId=, spanId=] o.s.b.a.e.web.EndpointLinksResolver — Exposing 1 endpoint beneath base path '/actuator'
2026-05-13 07:06:44.113 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Started TaviaDiscoveryServiceApplication in 3.277 seconds (process running for 3.73)
2026-05-13 07:07:02.392 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.a.c.c.C.[Tomcat].[localhost].[/] — Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-13 07:07:02.392 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.web.servlet.DispatcherServlet — Initializing Servlet 'dispatcherServlet'
2026-05-13 07:07:02.400 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.v.b.OptionalValidatorFactoryBean — Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-13 07:07:02.591 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] o.s.web.servlet.DispatcherServlet — Completed initialization in 199 ms
2026-05-13 07:07:02.772 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-TENANT-SERVICE/10.0.0.139:tavia-tenant-service:8081 with status UP (replication=false)
2026-05-13 07:07:19.649 [http-nio-8761-exec-4] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-INVENTORY-SERVICE/10.0.0.139:tavia-inventory-service:8083 with status UP (replication=false)
2026-05-13 07:07:37.491 [http-nio-8761-exec-8] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-CATALOG-SERVICE/10.0.0.139:tavia-catalog-service:8088 with status UP (replication=false)
2026-05-13 07:07:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:07:54.131 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-CRM-SERVICE/10.0.0.139:tavia-crm-service:8086 with status UP (replication=false)
2026-05-13 07:08:23.808 [http-nio-8761-exec-9] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-IOT-SERVICE/10.0.0.139:tavia-iot-service:8089 with status UP (replication=false)
2026-05-13 07:08:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:08:44.206 [http-nio-8761-exec-8] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-SUPPLY-SERVICE/10.0.0.139:tavia-supply-service:8091 with status UP (replication=false)
2026-05-13 07:08:59.761 [http-nio-8761-exec-6] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-CONTEXT-SERVICE/10.0.0.139:tavia-context-service:8087 with status UP (replication=false)
2026-05-13 07:09:19.676 [http-nio-8761-exec-6] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-AI-SERVICE/10.0.0.139:tavia-ai-service:8084 with status UP (replication=false)
2026-05-13 07:09:34.099 [http-nio-8761-exec-6] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-API-GATEWAY/10.0.0.139:tavia-api-gateway:8080 with status UP (replication=false)
2026-05-13 07:09:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:09:50.735 [http-nio-8761-exec-6] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-TRAFFIC-SIMULATOR/10.0.0.139:tavia-traffic-simulator:8095 with status UP (replication=false)
2026-05-13 07:10:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:11:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:12:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:13:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:14:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:15:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
2026-05-13 07:16:43.915 [Eureka-PeerNodesUpdater] WARN  [traceId=, spanId=] c.n.eureka.cluster.PeerEurekaNodes — The replica size seems to be empty. Check the route 53 DNS Registry
2026-05-13 07:16:43.939 [Eureka-EvictionTimer] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Running the evict task with compensationTime 0ms
